method,size,mfw,stat,p_value
cosine,200,700,0.9876217438374103,0.4807493719250998
jeffreys,200,700,0.9828162246307282,0.21888840689477188
labbe,200,NA,0.9777333670783108,0.08838206157247212
manhattan,200,700,0.9364771556750213,1.183074714278333e-4
tanimoto,200,700,0.9861051558490933,0.3803108364983858
