method,scale,mfw,size,.estimate
cosine,TRUE,700,7000,0.933
labbe,FALSE,NA,7000,0.933
cosine,TRUE,500,7000,0.93
cosine,TRUE,600,5000,0.93
cosine,TRUE,700,6000,0.93
cosine,TRUE,600,6500,0.928
cosine,TRUE,800,6000,0.926
cosine,TRUE,700,6500,0.925
cosine,TRUE,400,6500,0.923
cosine,TRUE,700,5500,0.921
cosine,TRUE,1000,5500,0.921
cosine,TRUE,1000,6500,0.921
labbe,FALSE,NA,4000,0.921
labbe,FALSE,NA,6000,0.921
