method,scale,.estimate
labbe,FALSE,0.801
cosine,TRUE,0.665
tanimoto,FALSE,0.638
jeffreys,FALSE,0.62
manhattan,FALSE,0.574
manhattan,TRUE,0.557
euclidean,TRUE,0.53
cosine,FALSE,0.526
canberra,FALSE,0.505
clark,FALSE,0.445
euclidean,FALSE,0.415
clark,TRUE,0.089
canberra,TRUE,0.052
tanimoto,TRUE,0.041
